benchmark,cores,efficiency,frequency,power,throughput
klsm16,16,68369.84262107282,1200000,114.9520417,7859253
klsm16,16,68425.01345498068,1200000,114.9520417,7865595
klsm16,16,69040.47881735014,1200000,114.9520417,7936344
klsm16,16,69204.32975658927,1200000,114.9520417,7955179
klsm16,16,74735.19509798523,1500000,125.90651549999998,9409648
klsm16,16,74818.51882399208,1500000,125.90651549999998,9420139
klsm16,16,75232.98506342986,1500000,125.90651549999998,9472323
klsm16,16,75439.99579592845,1500000,125.90651549999998,9498387
klsm16,16,75810.26257533114,1500000,125.90651549999998,9545006
klsm16,16,75346.95144090995,1800000,141.75306095000002,10680661
klsm16,16,75989.03986841915,1800000,141.75306095000002,10771679
klsm16,16,76219.51108209912,1800000,141.75306095000002,10804349
klsm16,16,76571.47526308848,1800000,141.75306095000002,10854241
klsm16,16,76890.6429741544,1800000,141.75306095000002,10899484
klsm16,16,74167.75406987357,2100000,158.68607790000002,11769390
klsm16,16,74512.4408925857,2100000,158.68607790000002,11824087
klsm16,16,75123.63502683809,2100000,158.68607790000002,11921075
klsm16,16,75162.47901417191,2100000,158.68607790000002,11927239
klsm16,16,75745.86982718538,2100000,158.68607790000002,12019815
klsm16,16,73882.37051888839,2300000,170.60776355,12604906
klsm16,16,74235.24426125098,2300000,170.60776355,12665109
klsm16,16,74290.11866910438,2300000,170.60776355,12674471
klsm16,16,74403.26123423943,2300000,170.60776355,12693774
klsm16,16,74594.40142224407,2300000,170.60776355,12726384
klsm16,24,67399.2627949376,1200000,114.082776,7689095
klsm16,24,67469.15064549271,1200000,114.082776,7697068
klsm16,24,67725.84145392815,1200000,114.082776,7726352
klsm16,24,67756.73130534621,1200000,114.082776,7729876
klsm16,24,67817.62568610709,1200000,114.082776,7736823
klsm16,24,72853.84011359913,1500000,124.94101870000001,9102433
klsm16,24,73504.60317641062,1500000,124.94101870000001,9183740
klsm16,24,73660.52474806657,1500000,124.94101870000001,9203221
klsm16,24,74219.48449344601,1500000,124.94101870000001,9273058
klsm16,24,75992.6971845636,1500000,124.94101870000001,9494605
klsm16,24,74150.85723104901,1800000,140.36281424999999,10408023
klsm16,24,74240.07601785458,1800000,140.36281424999999,10420546
klsm16,24,74527.15347647713,1800000,140.36281424999999,10460841
klsm16,24,74653.6399686073,1800000,140.36281424999999,10478595
klsm16,24,75016.54235320378,1800000,140.36281424999999,10529533
klsm16,24,72060.00755913049,2100000,158.063153,11390032
klsm16,24,72145.15074237448,2100000,158.063153,11403490
klsm16,24,72402.71867789452,2100000,158.063153,11444202
klsm16,24,72581.03980755084,2100000,158.063153,11472388
klsm16,24,73008.20451177511,2100000,158.063153,11539907
klsm16,24,71484.9242515285,2300000,168.42735900000005,12040017
klsm16,24,71874.96777171455,2300000,168.42735900000005,12105711
klsm16,24,71944.38642239825,2300000,168.42735900000005,12117403
klsm16,24,71957.2228167515,2300000,168.42735900000005,12119565
klsm16,24,72224.54874448276,2300000,168.42735900000005,12164590
klsm256,1,50792.71515632785,1200000,76.60409544999999,3890930
klsm256,1,50804.411658906945,1200000,76.60409544999999,3891826
klsm256,1,50861.04048500974,1200000,76.60409544999999,3896164
klsm256,1,50882.331774860744,1200000,76.60409544999999,3897795
klsm256,1,50926.25893019406,1200000,76.60409544999999,3901160
klsm256,1,62426.862815704146,1500000,79.60054015,4969212
klsm256,1,62427.16432119588,1500000,79.60054015,4969236
klsm256,1,62568.243765868465,1500000,79.60054015,4980466
klsm256,1,62668.98428829318,1500000,79.60054015,4988485
klsm256,1,62714.14729840875,1500000,79.60054015,4992080
klsm256,1,76140.91016004479,1800000,80.0565949,6095582
klsm256,1,76262.64903754981,1800000,80.0565949,6105328
klsm256,1,76264.2354152887,1800000,80.0565949,6105455
klsm256,1,76264.84748229031,1800000,80.0565949,6105504
klsm256,1,76335.29764329261,1800000,80.0565949,6111144
klsm256,1,85661.35820266229,2100000,84.20819085000001,7213388
klsm256,1,85690.79714411177,2100000,84.20819085000001,7215867
klsm256,1,85813.2199143428,2100000,84.20819085000001,7226176
klsm256,1,85832.90921039897,2100000,84.20819085000001,7227834
klsm256,1,85927.5793359477,2100000,84.20819085000001,7235806
klsm256,1,94823.5245594454,2300000,83.6519317,7932171
klsm256,1,94831.0318576899,2300000,83.6519317,7932799
klsm256,1,94876.98417369601,2300000,83.6519317,7936643
klsm256,1,95140.54055012336,2300000,83.6519317,7958690
klsm256,1,95347.36183504056,2300000,83.6519317,7975991
klsm256,8,290745.9345660438,1200000,101.1976592,29422808
klsm256,8,293521.31496733276,1200000,101.1976592,29703670
klsm256,8,294460.2003205228,1200000,101.1976592,29798683
klsm256,8,294460.3189003407,1200000,101.1976592,29798695
klsm256,8,294784.2591995448,1200000,101.1976592,29831477
klsm256,8,344206.92795167945,1500000,109.70024405,37759584
klsm256,8,345501.07274806924,1500000,109.70024405,37901552
klsm256,8,345730.4067866383,1500000,109.70024405,37926710
klsm256,8,346190.66100427695,1500000,109.70024405,37977200
klsm256,8,347692.79986847943,1500000,109.70024405,38141985
klsm256,8,381790.1444176775,1800000,119.89997559999998,45776629
klsm256,8,382683.46403233137,1800000,119.89997559999998,45883738
klsm256,8,382803.65588331287,1800000,119.89997559999998,45898149
klsm256,8,383183.7643843525,1800000,119.89997559999998,45943724
klsm256,8,383938.0681241774,1800000,119.89997559999998,46034165
klsm256,8,397419.8280757247,2100000,134.47043460000003,53441217
klsm256,8,398324.97871617635,2100000,134.47043460000003,53562933
klsm256,8,400131.47246867,2100000,134.47043460000003,53805853
klsm256,8,403607.7830895921,2100000,134.47043460000003,54273314
klsm256,8,403809.06153477984,2100000,134.47043460000003,54300380
klsm256,8,411356.865817504,2300000,142.83447265,58755941
klsm256,8,411411.88754898234,2300000,142.83447265,58763800
klsm256,8,412709.3544458856,2300000,142.83447265,58949123
klsm256,8,413148.6881643904,2300000,142.83447265,59011875
klsm256,8,413203.1007992103,2300000,142.83447265,59019647
klsm256,16,474814.53898029384,1200000,114.80245975000003,54509877
klsm256,16,474950.98204984225,1200000,114.80245975000003,54525541
klsm256,16,477987.39782663924,1200000,114.80245975000003,54874129
klsm256,16,478246.80864470755,1200000,114.80245975000003,54903910
klsm256,16,478756.16184260364,1200000,114.80245975000003,54962385
klsm256,16,536958.8160027418,1500000,126.86650999999999,68122091
klsm256,16,537652.1431857785,1500000,126.86650999999999,68210051
klsm256,16,543461.4067967978,1500000,126.86650999999999,68947052
klsm256,16,545624.6727367215,1500000,126.86650999999999,69221498
klsm256,16,546908.1162554247,1500000,126.86650999999999,69384324
klsm256,16,570353.7607158353,1800000,145.23349315,82834469
klsm256,16,570847.4898030091,1800000,145.23349315,82906175
klsm256,16,572438.6103839988,1800000,145.23349315,83137259
klsm256,16,575057.2831966619,1800000,145.23349315,83517578
klsm256,16,575673.0777910096,1800000,145.23349315,83607012
klsm256,16,585165.364296012,2100000,164.1541261,96057309
klsm256,16,588127.8850169578,2100000,164.1541261,96543619
klsm256,16,588314.075889683,2100000,164.1541261,96574183
klsm256,16,589493.6624441022,2100000,164.1541261,96767817
klsm256,16,589696.6363247569,2100000,164.1541261,96801136
klsm256,16,588463.4440252313,2300000,176.5712128,103905704
klsm256,16,589810.6851537692,2300000,176.5712128,104143588
klsm256,16,599815.2208421598,2300000,176.5712128,105910101
klsm256,16,600725.5787507396,2300000,176.5712128,106070844
klsm256,16,602967.6203254804,2300000,176.5712128,106466724
klsm256,24,661220.3009838847,1200000,114.77415150000002,75890999
klsm256,24,663112.3733465369,1200000,114.77415150000002,76108160
klsm256,24,664170.9827843945,1200000,114.77415150000002,76229661
klsm256,24,670139.6002043195,1200000,114.77415150000002,76914704
klsm256,24,671374.9306175441,1200000,114.77415150000002,77056488
klsm256,24,757345.4339370586,1500000,126.31136165000002,95661333
klsm256,24,765221.1308419537,1500000,126.31136165000002,96656123
klsm256,24,765306.768427193,1500000,126.31136165000002,96666940
klsm256,24,765324.6053024398,1500000,126.31136165000002,96669193
klsm256,24,765703.7398424719,1500000,126.31136165000002,96717082
klsm256,24,788677.8773335782,1800000,144.83887944999998,114231220
klsm256,24,795212.1173359437,1800000,144.83887944999998,115177632
klsm256,24,799193.7209094447,1800000,144.83887944999998,115754323
klsm256,24,801209.8646486733,1800000,144.83887944999998,116046339
klsm256,24,809331.9863087357,1800000,144.83887944999998,117222738
klsm256,24,820849.5617926657,2100000,162.34826964999996,133263506
klsm256,24,821287.0656857046,2100000,162.34826964999996,133334534
klsm256,24,824673.7479163519,2100000,162.34826964999996,133884356
klsm256,24,829700.3798709722,2100000,162.34826964999996,134700421
klsm256,24,830668.5022928425,2100000,162.34826964999996,134857594
klsm256,24,830508.7778015564,2300000,174.40744019999997,144846910
klsm256,24,830629.0192314859,2300000,174.40744019999997,144867881
klsm256,24,832571.2586199635,2300000,174.40744019999997,145206622
klsm256,24,837047.2201907819,2300000,174.40744019999997,145987263
klsm256,24,846825.524362005,2300000,174.40744019999997,147692672
klsm4096,1,48055.1255811148,1200000,77.00635374999999,3700550
klsm4096,1,48086.90217980877,1200000,77.00635374999999,3702997
klsm4096,1,48093.26529111243,1200000,77.00635374999999,3703487
klsm4096,1,48140.87175241693,1200000,77.00635374999999,3707153
klsm4096,1,48144.36497066322,1200000,77.00635374999999,3707422
klsm4096,1,60127.11599465057,1500000,79.0723939,4754395
klsm4096,1,60203.678745585574,1500000,79.0723939,4760449
klsm4096,1,60221.16904696369,1500000,79.0723939,4761832
klsm4096,1,60270.7565174652,1500000,79.0723939,4765753
klsm4096,1,60620.89135763475,1500000,79.0723939,4793439
klsm4096,1,71694.17730066073,1800000,81.6777069,5855816
klsm4096,1,71990.04750707564,1800000,81.6777069,5879982
klsm4096,1,72000.93174995833,1800000,81.6777069,5880871
klsm4096,1,72069.60409903475,1800000,81.6777069,5886480
klsm4096,1,72093.33150365415,1800000,81.6777069,5888418
klsm4096,1,82579.89557330056,2100000,84.13981335,6948257
klsm4096,1,82841.66225809675,2100000,84.13981335,6970282
klsm4096,1,82975.99818718876,2100000,84.13981335,6981585
klsm4096,1,83045.82244476776,2100000,84.13981335,6987460
klsm4096,1,83159.5022785964,2100000,84.13981335,6997025
klsm4096,1,90603.51849700345,2300000,84.85661625000002,7688308
klsm4096,1,90734.86948049262,2300000,84.85661625000002,7699454
klsm4096,1,90900.36040648744,2300000,84.85661625000002,7713497
klsm4096,1,90916.65848742818,2300000,84.85661625000002,7714880
klsm4096,1,91014.67088018607,2300000,84.85661625000002,7723197
klsm4096,8,307916.62406951014,1200000,100.8958191,31067500
klsm4096,8,308177.92330108554,1200000,100.8958191,31093864
klsm4096,8,308781.36753240356,1200000,100.8958191,31154749
klsm4096,8,309857.6162904653,1200000,100.8958191,31263338
klsm4096,8,309883.3160669588,1200000,100.8958191,31265931
klsm4096,8,361793.02195574355,1500000,109.2776245,39535882
klsm4096,8,365588.61141788453,1500000,109.2776245,39950655
klsm4096,8,366375.8357045911,1500000,109.2776245,40036681
klsm4096,8,366419.28467249946,1500000,109.2776245,40041429
klsm4096,8,367034.26875828544,1500000,109.2776245,40108633
klsm4096,8,403420.9756304466,1800000,119.31232609999999,48133095
klsm4096,8,404166.4476441718,1800000,119.31232609999999,48222039
klsm4096,8,405190.5329503085,1800000,119.31232609999999,48344225
klsm4096,8,406321.2124400951,1800000,119.31232609999999,48479129
klsm4096,8,407523.12514004373,1800000,119.31232609999999,48622532
klsm4096,8,418806.5368900635,2100000,134.95921629999998,56521802
klsm4096,8,419952.57199785626,2100000,134.95921629999998,56676470
klsm4096,8,420460.1920172828,2100000,134.95921629999998,56744978
klsm4096,8,421625.2476860301,2100000,134.95921629999998,56902213
klsm4096,8,424802.24449851085,2100000,134.95921629999998,57330978
klsm4096,8,434393.98662397446,2300000,141.96859739999996,61670305
klsm4096,8,437073.5651150415,2300000,141.96859739999996,62050721
klsm4096,8,438104.8847355874,2300000,141.96859739999996,62197136
klsm4096,8,440336.0119411873,2300000,141.96859739999996,62513886
klsm4096,8,441935.33745512663,2300000,141.96859739999996,62740940
klsm4096,16,530133.1540714623,1200000,113.43256225,60134362
klsm4096,16,530563.1628716912,1200000,113.43256225,60183139
klsm4096,16,533809.2942531587,1200000,113.43256225,60551356
klsm4096,16,535568.7802071137,1200000,113.43256225,60750939
klsm4096,16,538808.7581526882,1200000,113.43256225,61118458
klsm4096,16,604299.6630196709,1500000,126.69358215000003,76560889
klsm4096,16,604510.4708565539,1500000,126.69358215000003,76587597
klsm4096,16,606230.9921039673,1500000,126.69358215000003,76805576
klsm4096,16,608009.6694148133,1500000,126.69358215000003,77030923
klsm4096,16,611901.0346413193,1500000,126.69358215000003,77523934
klsm4096,16,645693.4317417854,1800000,143.57649535000002,92706400
klsm4096,16,645945.7432354717,1800000,143.57649535000002,92742626
klsm4096,16,649501.8197280436,1800000,143.57649535000002,93253195
klsm4096,16,650625.2835624741,1800000,143.57649535000002,93414498
klsm4096,16,654021.257247522,1800000,143.57649535000002,93902080
klsm4096,16,659669.9061546639,2100000,163.14508665,107621904
klsm4096,16,663026.2438246711,2100000,163.14508665,108169474
klsm4096,16,663841.8062343773,2100000,163.14508665,108302529
klsm4096,16,666480.0407582487,2100000,163.14508665,108732944
klsm4096,16,674025.7905278449,2100000,163.14508665,109963996
klsm4096,16,675949.7084041962,2300000,175.7963226,118829473
klsm4096,16,676302.8272810981,2300000,175.7963226,118891550
klsm4096,16,679424.9688133124,2300000,175.7963226,119440411
klsm4096,16,680988.414486891,2300000,175.7963226,119715259
klsm4096,16,684707.4570148033,2300000,175.7963226,120369053
klsm4096,24,770237.1967046277,1200000,113.23934935,87221159
klsm4096,24,774091.7667150125,1200000,113.23934935,87657648
klsm4096,24,777605.6424329852,1200000,113.23934935,88055557
klsm4096,24,782545.98342939,1200000,113.23934935,88614998
klsm4096,24,786822.8271482912,1200000,113.23934935,89099305
klsm4096,24,889360.998515232,1500000,126.61800235000001,112609113
klsm4096,24,890096.3441870317,1500000,126.61800235000001,112702221
klsm4096,24,891061.6413622481,1500000,126.61800235000001,112824445
klsm4096,24,896331.1842994022,1500000,126.61800235000001,113491664
klsm4096,24,896524.0715630355,1500000,126.61800235000001,113516087
klsm4096,24,942668.8604121454,1800000,143.60967109999999,135376365
klsm4096,24,945262.2929933026,1800000,143.60967109999999,135748807
klsm4096,24,947719.2654053785,1800000,143.60967109999999,136101652
klsm4096,24,949911.9937751881,1800000,143.60967109999999,136416549
klsm4096,24,954651.040907509,1800000,143.60967109999999,137097122
klsm4096,24,970415.9691000239,2100000,161.7248108,156940339
klsm4096,24,977668.2886062155,2100000,161.7248108,158113219
klsm4096,24,983826.1687426874,2100000,161.7248108,159109101
klsm4096,24,984906.2503896279,2100000,161.7248108,159283777
klsm4096,24,991374.0520511402,2100000,161.7248108,160329781
klsm4096,24,989534.7246594211,2300000,174.25173639999997,172428144
klsm4096,24,990237.4780582102,2300000,174.25173639999997,172550600
klsm4096,24,999868.8713210437,2300000,174.25173639999997,174228887
klsm4096,24,1000319.3345509757,2300000,174.25173639999997,174307381
klsm4096,24,1003477.856878332,2300000,174.25173639999997,174857759
