,benchmark,cores,frequency,power,throughput
234,klsm128,24,2800000,223.51204835000004,134954564
42,klsm128,32,1200000,140.86060795,75439176
44,klsm128,32,1200000,140.86060795,77815714
43,klsm128,32,1200000,140.86060795,77950957
41,klsm128,32,1200000,140.86060795,78692465
40,klsm128,32,1200000,140.86060795,80154024
94,klsm128,32,1500000,153.22802435,92393964
90,klsm128,32,1500000,153.22802435,92452729
92,klsm128,32,1500000,153.22802435,92578488
93,klsm128,32,1500000,153.22802435,93944243
91,klsm128,32,1500000,153.22802435,95037330
143,klsm128,32,2000000,176.12439584999998,115338746
141,klsm128,32,2000000,176.12439584999998,116592598
142,klsm128,32,2000000,176.12439584999998,116865026
140,klsm128,32,2000000,176.12439584999998,117785951
144,klsm128,32,2000000,176.12439584999998,118806361
192,klsm128,32,2500000,203.15251769999998,135745149
191,klsm128,32,2500000,203.15251769999998,136508760
190,klsm128,32,2500000,203.15251769999998,137793056
241,klsm128,32,2800000,218.91792299999997,138611318
193,klsm128,32,2500000,203.15251769999998,138754068
194,klsm128,32,2500000,203.15251769999998,139952526
242,klsm128,32,2800000,218.91792299999997,142679466
244,klsm128,32,2800000,218.91792299999997,145112746
240,klsm128,32,2800000,218.91792299999997,147529003
243,klsm128,32,2800000,218.91792299999997,148134599
6,klsm256,1,1200000,105.2392272,4058139
8,klsm256,1,1200000,105.2392272,4063053
5,klsm256,1,1200000,105.2392272,4063838
9,klsm256,1,1200000,105.2392272,4065717
7,klsm256,1,1200000,105.2392272,4071910
59,klsm256,1,1500000,108.82294319999998,5152207
58,klsm256,1,1500000,108.82294319999998,5172036
56,klsm256,1,1500000,108.82294319999998,5173840
57,klsm256,1,1500000,108.82294319999998,5174596
55,klsm256,1,1500000,108.82294319999998,5176841
109,klsm256,1,2000000,121.51262814999998,7047093
105,klsm256,1,2000000,121.51262814999998,7048414
106,klsm256,1,2000000,121.51262814999998,7056069
107,klsm256,1,2000000,121.51262814999998,7061396
108,klsm256,1,2000000,121.51262814999998,7062565
158,klsm256,1,2500000,133.90330820000003,8934784
156,klsm256,1,2500000,133.90330820000003,8939398
155,klsm256,1,2500000,133.90330820000003,8948484
159,klsm256,1,2500000,133.90330820000003,8952252
157,klsm256,1,2500000,133.90330820000003,8957011
208,klsm256,1,2800000,135.80541089999997,10077925
209,klsm256,1,2800000,135.80541089999997,10083475
206,klsm256,1,2800000,135.80541089999997,10084510
205,klsm256,1,2800000,135.80541089999997,10085885
207,klsm256,1,2800000,135.80541089999997,10102012
15,klsm256,8,1200000,120.45274045,30347739
18,klsm256,8,1200000,120.45274045,30554269
19,klsm256,8,1200000,120.45274045,30615323
16,klsm256,8,1200000,120.45274045,30647483
17,klsm256,8,1200000,120.45274045,30813364
66,klsm256,8,1500000,129.37372439999996,38404259
68,klsm256,8,1500000,129.37372439999996,38406047
67,klsm256,8,1500000,129.37372439999996,38473093
69,klsm256,8,1500000,129.37372439999996,38536386
65,klsm256,8,1500000,129.37372439999996,38679068
117,klsm256,8,2000000,146.07653505000002,50969286
118,klsm256,8,2000000,146.07653505000002,51033785
116,klsm256,8,2000000,146.07653505000002,51060218
115,klsm256,8,2000000,146.07653505000002,51169227
119,klsm256,8,2000000,146.07653505000002,51398699
165,klsm256,8,2500000,168.45025009999998,63002101
166,klsm256,8,2500000,168.45025009999998,63126930
167,klsm256,8,2500000,168.45025009999998,63147457
168,klsm256,8,2500000,168.45025009999998,63917054
169,klsm256,8,2500000,168.45025009999998,64003659
216,klsm256,8,2800000,179.97267764999998,69809780
215,klsm256,8,2800000,179.97267764999998,70316321
217,klsm256,8,2800000,179.97267764999998,70421434
219,klsm256,8,2800000,179.97267764999998,70519005
218,klsm256,8,2800000,179.97267764999998,70748229
28,klsm256,16,1200000,137.77241205,56213722
29,klsm256,16,1200000,137.77241205,56233279
26,klsm256,16,1200000,137.77241205,56593265
27,klsm256,16,1200000,137.77241205,56725555
25,klsm256,16,1200000,137.77241205,56894318
76,klsm256,16,1500000,150.83972475,69702310
75,klsm256,16,1500000,150.83972475,70123625
77,klsm256,16,1500000,150.83972475,70279808
79,klsm256,16,1500000,150.83972475,70483620
78,klsm256,16,1500000,150.83972475,70512786
129,klsm256,16,2000000,174.53813774999998,91831315
128,klsm256,16,2000000,174.53813774999998,91864191
127,klsm256,16,2000000,174.53813774999998,92297835
126,klsm256,16,2000000,174.53813774999998,92530388
125,klsm256,16,2000000,174.53813774999998,92692823
176,klsm256,16,2500000,207.63787850000003,112465212
179,klsm256,16,2500000,207.63787850000003,112773264
175,klsm256,16,2500000,207.63787850000003,113060138
177,klsm256,16,2500000,207.63787850000003,113077452
178,klsm256,16,2500000,207.63787850000003,113085839
226,klsm256,16,2800000,230.20166635,124006698
229,klsm256,16,2800000,230.20166635,124453376
228,klsm256,16,2800000,230.20166635,124686505
225,klsm256,16,2800000,230.20166635,124849782
227,klsm256,16,2800000,230.20166635,125380937
36,klsm256,24,1200000,139.98499455,74148543
35,klsm256,24,1200000,139.98499455,74882686
39,klsm256,24,1200000,139.98499455,74933459
38,klsm256,24,1200000,139.98499455,75611703
37,klsm256,24,1200000,139.98499455,76402822
86,klsm256,24,1500000,152.70839840000002,93025526
87,klsm256,24,1500000,152.70839840000002,93323191
89,klsm256,24,1500000,152.70839840000002,94409467
88,klsm256,24,1500000,152.70839840000002,95167681
85,klsm256,24,1500000,152.70839840000002,95761226
136,klsm256,24,2000000,175.27284849999998,122028475
139,klsm256,24,2000000,175.27284849999998,122716624
137,klsm256,24,2000000,175.27284849999998,122901059
138,klsm256,24,2000000,175.27284849999998,122922959
135,klsm256,24,2000000,175.27284849999998,123017465
187,klsm256,24,2500000,205.7424805,148496557
188,klsm256,24,2500000,205.7424805,150096837
186,klsm256,24,2500000,205.7424805,150101587
185,klsm256,24,2500000,205.7424805,150721838
189,klsm256,24,2500000,205.7424805,151338149
237,klsm256,24,2800000,223.51204835000004,163232952
238,klsm256,24,2800000,223.51204835000004,164654429
236,klsm256,24,2800000,223.51204835000004,165252564
239,klsm256,24,2800000,223.51204835000004,165352504
235,klsm256,24,2800000,223.51204835000004,165656713
47,klsm256,32,1200000,140.86060795,90756402
45,klsm256,32,1200000,140.86060795,91685608
49,klsm256,32,1200000,140.86060795,92025176
48,klsm256,32,1200000,140.86060795,93886811
46,klsm256,32,1200000,140.86060795,95041889
95,klsm256,32,1500000,153.22802435,114467981
96,klsm256,32,1500000,153.22802435,115607878
97,klsm256,32,1500000,153.22802435,116296105
99,klsm256,32,1500000,153.22802435,116668787
